id,productName,productDescription,bestRecipes,productCategory,fatRatioComments,isStandardPackage,packagingType,weightGrams,basePrice,offerPrice,hasDailyPriceChange,isByReservation,productCondition,isActive,stockStatus,stockQuantity,stockUpdatedAt,stockUpdatedBy,isTargeted,pricingMode
000922ab-8ac4-47c2-9667-1fa323bedb28,سيراليون استيك,450:500جم هي قطعة مابين الانتركوت والريب آي خالية من الدهون والعصب /كيس مكون من 2 قطع ستيك(مجمد للحفاظ علي خصائص القطعية),,لحم فريش,,true,فاكيوم,0.475,295.0,286.0,false,false,فريش,true,available,,,,false,unit
00329b0b-d90d-414e-b006-2e124745711b,بيف بيكون مدخن,شرائح اللحم (المجففة/المدخنة),اضافة مميزة جدا للمعجنات مثل بيتزا - الساندوتشات مثل برجر وغيرهم,,,true,فاكيوم,0.2,155.0,,false,false,فريش,true,available,,,,false,unit
009f16e4-755d-4e7b-b566-d6e237b62244,قطع زيتون,,,اخشاب شوي,,true,غير محدد,1000,149,,false,false,فريش,true,available,,,,false,unit
018bef75-a8f1-4cd2-ba7a-fb87b81982d6,فخدة ضانى,"وزنها 2.5:4.5كيلو - بتتباع على بعضها 
البديل: كتف ضاني - (لو العميل عايز وزن أقل من الفخدة) 
معاها التنضيف الخاص بيها وبيكون عبارة عن لحم برضه ممكن نسال العميل محتاجه (متقطع او مفروم قطع كبيرة ام صغيرة مفروم خشن ام ناعم )",,لحم ضاني,,false,غير محدد,1000,604,598,false,false,فريش,true,available,,,,false,unit
038ad9ea-16b6-4a56-9206-1985df1eff74," كبدة صافى ","نسأل بدون تقطيع  أو مقطع مكعبات أو مقطع شرائح(مع توضيح الحجم او السمك) 
نسأل  فريش ولا متبلة جاهزة على التسوية؟"," كبدة اسكندراني
 تستوي في عرقها مع بصل وثوم على النار - كبدة بانيه  - نقلي الكبدة ونقدمها ارز بالشعيرية و خضار سوتيه",لحوم لذيذة,"عالى الدسم ",false,فاكيوم,0.5,325,,false,false,فريش,true,available,,,,false,unit
04a4e832-691a-4499-98d4-148ba49b689b,"سمبوسة   لحم ","جاهزة على التحمير - حشو لحمة عصاج / الطبق مكون من 12:15 قطعة تقريبا ","-  تحمير في زيت غزير
- من أحلى الأصناف في أي عزومة والكبير والصغير بيحبها",مقبلات وأصناف جانبية,"دسم وسط ",false,أطباق,0.4,140,,false,false,فريش,true,available,,,,false,unit
0512497c-85cf-43cd-ae53-7c393980e9b3,مخاصى فريش,,,لحوم لذيذة,,false,طبق أسود بلاستيك,0.5,150.0,120.0,false,true,فريش,true,available,,,,false,unit
05644706-629e-498c-92ae-f0045eb22dea,small rings pasta -400g,,,البقالة,,true,,0.0,28.0,,true,false,فريش,true,available,,,,false,unit
07261bc6-9cf9-49fb-a1ab-5e40d0e4b096,بطاطس كروكيت لحم,عبارة عن بطاطس مهروسة ومحشية لحم يتم تشكيلها /20:22قطع تقريبا,"اخراجها من التجميد 
وتترك حتي تصبح ف درجة حرارة الغرفة ثم التحمير
ف زيت مغلي للتسوية -5 دقائق تقريبا",مقبلات وأصناف جانبية,,true,طبق أسود بلاستيك,0.4,95,93.1,false,false,فريش,true,available,,,,true,unit
0a45d0c8-a4d7-4b1b-9f24-d8dde4ec5384,مخ,"يكون لونه ورديّاً فاتحاً ولامعاً/مجمد للحفاظ علي خصائصه
نسأل بدون تقطيع أم شرائح صغير/ وسط /كبير؟",- أحلى أكلة: مخ بانيه - التقطيع يكون أصابع سميكة أو قطع كبيرة,لحوم لذيذة,,false,طبق بلاستيك أبيض,1.0,380.0,,true,true,فريش,true,available,,,,false,unit
